model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Silero,180,IISc_VaaniProject_S_Bihar_Gaya_129367_12207350_CGBTFA_255511_12020_20950,0.9630911188004614,0.9988038277511961,0.9806224310041104,0.9630872483221476,0.4482758620689655,0.03690888119953864,0.0011961722488038277
SpeechBrain,180,IISc_VaaniProject_S_Bihar_Gaya_129367_12207350_CGBTFA_255511_12020_20950,0.9815724815724816,0.9557416267942583,0.9684848484848485,0.941834451901566,0.7413793103448276,0.018427518427518427,0.04425837320574163
Pyannote,181,IISc_VaaniProject_S_Bihar_Gaya_129367_12239588_BHHC_155492_6096_20217,0.975177304964539,0.997822931785196,0.9863701578192252,0.9731258840169731,0.027777777777777776,0.024822695035460994,0.0021770682148040637
FunASR,181,IISc_VaaniProject_S_Bihar_Gaya_129367_12239588_BHHC_155492_6096_20217,0.975886524822695,0.9985486211901307,0.9870875179340028,0.9745222929936306,0.02857142857142857,0.024113475177304965,0.001451378809869376
Silero,181,IISc_VaaniProject_S_Bihar_Gaya_129367_12239588_BHHC_155492_6096_20217,0.9807417974322397,0.997822931785196,0.9892086330935251,0.9787685774946921,0.22857142857142856,0.01925820256776034,0.0021770682148040637
SpeechBrain,181,IISc_VaaniProject_S_Bihar_Gaya_129367_12239588_BHHC_155492_6096_20217,1.0,0.988388969521045,0.9941605839416059,0.9886765746638358,1.0,0.0,0.011611030478955007
Pyannote,182,IISc_VaaniProject_S_Bihar_Gaya_129438_12335554_BHAT_113584_0_3761,0.9972677595628415,0.9838274932614556,0.9905020352781547,0.9814814814814815,0.8571428571428571,0.00273224043715847,0.016172506738544475
FunASR,182,IISc_VaaniProject_S_Bihar_Gaya_129438_12335554_BHAT_113584_0_3761,0.9866310160427807,0.9946091644204852,0.9906040268456375,0.9814323607427056,0.16666666666666666,0.013368983957219251,0.005390835579514825
Silero,182,IISc_VaaniProject_S_Bihar_Gaya_129438_12335554_BHAT_113584_0_3761,1.0,0.9973045822102425,0.9986504723346828,0.9973474801061007,1.0,0.0,0.0026954177897574125
SpeechBrain,182,IISc_VaaniProject_S_Bihar_Gaya_129438_12335554_BHAT_113584_0_3761,1.0,0.9703504043126685,0.9849521203830369,0.9708222811671088,1.0,0.0,0.029649595687331536
